Abstract ID	Abstract Sentence	adaptation2	adaptation3	adaptation1
15902691	Muscle cramps are a common problem characterized by a sudden, painful, involuntary contraction of muscle.	Muscle cramps are a common problem represented by sudden, painful, involuntary muscle contractions.		
15902691	These true cramps, which originate from peripheral nerves, may be distinguished from other muscle pain or spasm.	These true cramps, coming from nerves outside the brain and spinal cord, may be identifiable from other muscle pains.		
15902691	Medical history, physical examination, and a limited laboratory screen help to determine the various causes of muscle cramps.	Medical history, physical check-up, and lab screenings help determine different causes of muscle cramps.		
15902691	"Despite the ""benign"" nature of cramps, many patients find the symptom very uncomfortable."	Despite their harmless nature, cramps are uncomfortable for many.		
15902691	Treatment options are guided both by experience and by a limited number of therapeutic trials.	Experience and limited medical studies guide treatment.		
15902691	Quinine sulfate is an effective medication, but the side-effect profile is worrisome, and other membrane-stabilizing drugs are probably just as effective.	Quinine sulfate (an antimalarial drug) helps, but its side-effects are problematic. Similar drugs may be just as helpful.		
15902691	Patients will benefit from further studies to better define the pathophysiology of muscle cramps and to find more effective medications with fewer side-effects.	More studies are needed to better define the effects of muscle cramps and find better medications.		
25432724	The dystonias are a group of disorders characterized by excessive involuntary muscle contractions leading to abnormal postures and/or repetitive movements.	Dystonias are disorders with a lot of uncontrollable muscle contractions leading to awkward poses and/or repetitive movements.		
25432724	A careful assessment of the clinical manifestations is helpful for identifying syndromic patterns that focus diagnostic testing on potential causes.	Checking the symptoms can help identify patterns that focus identification testing on possible causes.		
25432724	If a cause is identified, specific etiology-based treatments may be available.	If a cause is found, specific cause-based treatments may be available.		
25432724	In most cases, a specific cause cannot be identified, and treatments are based on symptoms.	In most cases, a specific cause cannot be found, and treatments are based on symptoms.		
25432724	Treatment options include counseling, education, oral medications, botulinum toxin injections, and several surgical procedures.	Treatment includes counseling, education, oral medications, botox (used as a muscle relaxant), and surgeries.		
25432724	A substantial reduction in symptoms and improved quality of life is achieved in most patients by combining these options.	A noticeable decrease in symptoms and improved quality of life is achieved in most patients by combining these options.		
29763070	Muscle cramps result in continuous, involuntary, painful, and localized contraction of an entire muscle group, individual single muscle, or select muscle fibers.	Muscle cramps cause constant and unintended contraction of muscles, causing pain. They can occur for individual muscles, groups of muscles, or small parts of muscles.		
29763070	Generally, the cramp can last from minutes to a few seconds for idiopathic or known causes with healthy subjects or in the presence of diseases.	A cramp usually lasts seconds or minutes, regardless of cause and how healthy you are.		
29763070	Palpating the muscle area of the cramp will present a knot.	A knot (hard area) can be felt beneath the skin where the cramp is.		
29763070	Exercise-associated muscle cramps are the most frequent condition requiring medical/therapeutic intervention during sports.	Muscle cramps are the most common reason for seeking medical help during sports.		
29763070	The specific etiology is not well understood and possible causes depend on the physiological or pathological situation in which the cramps appear.	We still don't know why muscle cramps happen. Causes may also depend on the person and the situation.		
29763070	It is important to note that a painful contraction that is limited to a specific area does not mean that the cause of the cramp is necessarily local.	Importantly, even though the pain of a muscle cramp can be in a specific area, the cause may lie elsewhere.		
29763070	A cramp is almost never a local effect but involves the whole body system, such as somatic and emotional.	A cramp can almost never be explained just by local effects, and it involves both the whole body and your emotional state.		
